"정본CSV행번호","우선순위","업소명","시도","시군구","소재지도로명주소","할인정보","적용대상","이용조건","인증방법","기존출처유형","기존출처URL","기존최근확인일","재확인기준","검증결과","새출처유형","새출처URL","새최근확인일","제안혜택상태","정본반영여부","검토메모"
"98","P1","이브 헤어샵","경기도","파주시","파주시 금정14길 35 (아동동)","20%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"99","P1","이정호 모델헤어","경기도","파주시","파주시 중앙로 318-1 (금촌동)","10%이상 할인(컷트 17000원→15000원)","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"100","P1","헤어그린","경기도","파주시","파주시 새꽃로 208 (아동동)","10%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1004","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"101","P1","성심모텔","경기도","파주시","파주시 아동로 4-3 (금촌동)","10%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"102","P1","테마모텔","경기도","파주시","파주시 중앙로 272 (금촌동)","10%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1002","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"103","P1","덕성원","경기도","파주시","파주시 명동길 43 (금촌동)","음료수 제공 또는 5%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"104","P1","미몽 파주금촌점","경기도","파주시","파주시 동산8길 39 (금촌동)","10%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"105","P1","바삭옛날통닭","경기도","파주시","파주시 새꽃로 25 (금촌동) 103호","10% 이상 할인 또는 그에 상응하는 서비스(업소별 상세는 사전 확인)","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"106","P1","소담촌","경기도","파주시","파주시 후곡로 19 (금촌동) 3층 전부","음료수 제공","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"107","P1","여명 양평해장국","경기도","파주시","파주시 번영로 36 (금촌동)","10%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"108","P1","왔다삼겹살","경기도","파주시","파주시 원앙길 26 (금촌동)","음료수 제공","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"109","P1","이승옥 냉 돈돼지","경기도","파주시","파주시 평화로 8 (금촌동)","10%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"110","P1","중국성","경기도","파주시","파주시 아동로 13 (금촌동)","1000원 할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"111","P1","커피에반하다(금촌역점)","경기도","파주시","파주시 새꽃로 200 (금촌동) 1층","마카롱 제공","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"112","P1","미술관속 족발집","경기도","파주시","파주시 한마음1길 43 (금촌동) 2층","10%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"113","P1","소스와 꼬꼬","경기도","파주시","파주시 한마음1길 40 (금촌동)","5%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"114","P1","할머니가래떡볶이(금촌점)","경기도","파주시","파주시 한마음1길 9 (금촌동) 광성프라자 105호","음료수 제공","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"115","P1","일품양평해장국 파주검산점","경기도","파주시","파주시 평화로 330 (검산동)","10%할인","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"116","P1","파주새말육심","경기도","파주시","파주시 정담길 41 (아동동) 1층","10% 이상 할인 또는 그에 상응하는 서비스(업소별 상세는 사전 확인)","파주시 관내 주둔 군 장병 및 사회복무요원","업소별 세부 조건 및 중복할인 여부는 방문 전 확인","군인 또는 사회복무요원 신분 확인자료(방문 전 업소 확인 권장)","지자체 공식 자료","https://www.paju.go.kr/user/soldier/BD_discountStoreList.do?q_ctgCd=1001","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"117","P1","수민헤어","경기도","김포시","경기도 김포시통진읍조강로98(통진읍서암리, 1층)","서비스 이용료의 약30%할인 기타우대사항: 남자컷15,000원->10,000원, 일반남자컷보다 5,000원할인","예비군(당해년도,모범), 복무중인 사람, 병역명문가","없음 | 혜택기간: 2024-09-26~","동원훈련이수증,모범예비군증,복무확인서,명문가증","공공데이터","https://www.mma.go.kr/about/udgg/list.do?mc=mma0003357","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"118","P1","개성연출","경기도","동두천시","경기도 동두천시 정장로31-12, 1층(생연동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"119","P1","고미나 헤어모드","경기도","동두천시","경기도 동두천시 동광로75-1(생연동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"120","P1","김희정헤어샵","경기도","동두천시","경기도 동두천시 지행로65, 2층(지행동)","커트 10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"121","P1","까미헤어","경기도","동두천시","경기도 동두천시 평화로2261번길 52(지행동)","커트 5,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"122","P1","노블헤어","경기도","동두천시","경기도 동두천시 거북마루로45, 상가동 202호(생연동)","커트 20%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"123","P1","리안헤어 동두천지행역점","경기도","동두천시","경기도 동두천시 지행로56, 205호(지행동)","커트 5,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"124","P1","마샹스헤어살롱","경기도","동두천시","경기도 동두천시 중앙로134-20, 202호(지행동)","커트 3,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"125","P1","박미라 헤어스토리","경기도","동두천시","경기도 동두천시 평화로2452-1(생연동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"126","P1","보배헤어샵","경기도","동두천시","경기도 동두천시 중앙로286번길 21-3(생연동)","커트 1,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"127","P1","삐삐머리방","경기도","동두천시","경기도 동두천시 평화로2530번길 35(보산동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"128","P1","샤론의꽃 미용아카데미","경기도","동두천시","경기도 동두천시 중앙로7번길 15(송내동)","커트 20%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"129","P1","세아떼바버샵","경기도","동두천시","경기도 동두천시 이담로89, 상가동 106호(지행동)","카드 5%, 현금 10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"130","P1","신성순 헤어아트","경기도","동두천시","경기도 동두천시 중앙로278, 2층(생연동)","커트 3,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"131","P1","신지미헤어라인","경기도","동두천시","경기도 동두천시 광암로33번길 13-10(광암동)","커트 1,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"132","P1","안다미로","경기도","동두천시","경기도 동두천시 지행로107번길 13(지행동)","커트 4,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"133","P1","에이치H헤어","경기도","동두천시","경기도 동두천시 중앙로134-26, 1층 105호(지행동)","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"134","P1","이선희헤어샵","경기도","동두천시","경기도 동두천시 삼육사로896, 1층(생연동)","커트 20%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"135","P1","이지현미용실","경기도","동두천시","경기도 동두천시 중앙로295번길 26(생연동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"136","P1","인헤어","경기도","동두천시","경기도 동두천시 삼육사로902, 2동 104호(생연동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"137","P1","잔디이발관","경기도","동두천시","경기도 동두천시 중앙로369(보산동)","커트 3,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"138","P1","쟝스헤어","경기도","동두천시","경기도 동두천시 평화로2915(상봉암동)","커트 1,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"139","P1","정헤어샾","경기도","동두천시","경기도 동두천시 동광로83-1(생연동)","커트 1,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"140","P1","제이제이 남성컷트전문","경기도","동두천시","경기도 동두천시 평화로2530번길 30(보산동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"141","P1","젠틀맨","경기도","동두천시","경기도 동두천시 중앙로362번길 8(생연동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"142","P1","차희에스 머리사랑","경기도","동두천시","경기도 동두천시 행선로98(생연동)","커트 10,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"143","P1","최재실 원헤어","경기도","동두천시","경기도 동두천시 평화로2397번길 17, 2층(생연동)","커트 5,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"144","P1","추은옥머리쟁이","경기도","동두천시","경기도 동두천시 행선로102(생연동)","20%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"145","P1","쿨헤어샵","경기도","동두천시","경기도 동두천시 중앙로311(생연동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"146","P1","하니머리나라","경기도","동두천시","경기도 동두천시 삼육사로1002번길 97(지행동)","커트 1,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"147","P1","헤어고","경기도","동두천시","경기도 동두천시 중앙로230-1, 1층(생연동)","커트 20%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"148","P1","헤어바이 미정","경기도","동두천시","경기도 동두천시 중앙로265번길 8(생연동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"149","P1","헤어뱅크","경기도","동두천시","경기도 동두천시 중앙로297, 1층 104호(생연동)","커트 2,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"150","P1","헤어카페","경기도","동두천시","경기도 동두천시 행선로110번길 9, 상가동 102호(생연동)","커트 10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"151","P1","그린파크모텔","경기도","동두천시","경기도 동두천시 어수로91-10(생연동)","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"152","P1","제이(J)모텔","경기도","동두천시","경기도 동두천시 동두천로247-13(생연동)","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"153","P1","강스시","경기도","동두천시","경기도 동두천시 어수로83번길 38, 1층(생연동)","메뉴당 1,000원","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"154","P1","거북이삼겹살","경기도","동두천시","경기도 동두천시 생연로175, 1층(생연동)","5%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"155","P1","고기싸롱","경기도","동두천시","경기도 동두천시 평화로2313번길 7-26(지행동)","5%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"156","P1","고봉민김밥 지행역점","경기도","동두천시","경기도 동두천시 중앙로126, 107호(지행동)","10%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"157","P1","그집순대국","경기도","동두천시","경기도 동두천시 장고갯로157, 제1동(생연동)","5%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"158","P1","깐부치킨 동두천지행역점","경기도","동두천시","경기도 동두천시 중앙로134-20, 1층(지행동)","5% (포장·방문)","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"159","P1","넓은공간","경기도","동두천시","경기도 동두천시 평화로2910번길 82(상봉암동)","5%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
"160","P1","다복식당","경기도","동두천시","경기도 동두천시 생연로177(생연동)","5%","군 장병","업소별 할인율·적용 품목·중복 할인 여부는 방문 전 문의","군인 신분 확인자료(방문 전 문의)","지자체 공식 자료","https://www.ddc.go.kr/ddc/contents.do?key=1570","2026-08-15","현재 공식 근거에서 혜택·적용대상·조건이 유지되는지 확인","미검토","","","","","아니오",""
